date,category,value,description
2026-01-03,Groceries,54.32,Metro
2026-01-05,Rent,950.00,Monthly rent
2026-01-07,Entertainment,15.99,Netflix
2026-01-10,Groceries,72.10,Freshco
2026-01-12,Transport,40.00,Gas
2026-01-15,Dining,22.50,Tim Hortons
2026-01-18,Groceries,63.45,Metro
2026-01-20,Entertainment,12.99,Spotify
2026-01-22,Transport,35.00,Gas
2026-01-25,Dining,45.80,Restaurant
2026-02-01,Rent,950.00,Monthly rent
2026-02-03,Groceries,58.20,Metro
2026-02-06,Dining,18.75,Tim Hortons
2026-02-10,Entertainment,15.99,Netflix
2026-02-14,Groceries,80.00,Freshco
2026-02-18,Transport,42.00,Gas
2026-02-22,Dining,30.10,Restaurant
